nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Narcotic Venus Nasomatto for women,for women, - white floral - tuberose - animalic, 41.8594%, 12.7105%, 45.43%, 100%, 83.5424%, 16.0148%, 25.5351%, 2.80443%, 43.5556%, 100%, 66.6667%, 64.4444%, 91.2222%, 64%
Nuda Nasomatto for women,for women, - white floral, 21.2867%, 11.2583%, 67.4551%, 100%, 93.8053%, 9.73451%, 55.7522%, 2.65487%, 36.1111%, 100%, 63.8889%, 54.1667%, 93.0556%, 81.9444%
Nudiflorum Nasomatto for women and men,for women and men, - animalic - leather - fruity - woody - sweet - mossy - green - rose - musky - earthy, 48.2701%, 10.8531%, 40.8768%, 100%, 63.2801%, 18.7228%, 37.7359%, 9.43396%, 80.5941%, 77.2277%, 35.8416%, 100%, 73.8614%, 77.4257%
Pardon Nasomatto for men,for men, - warm spicy - oud - chocolate - woody - sweet - floral - cinnamon - vanilla - powdery - cacao, 44.2921%, 10.303%, 45.4049%, 100%, 55.4268%, 12.0732%, 15.3049%, 2.07317%, 100%, 35.2657%, 12.2383%, 96.6184%, 57.8905%, 89.4525%
Sadonaso Nasomatto for women and men,for women and men,, 42.1642%, 8.02239%, 49.8134%, 79.5666%, 52.6316%, 36.2229%, 45.2012%, 100%, 95.8199%, 61.0932%, 30.5466%, 99.6785%, 47.91%, 100%
Silver Musk Nasomatto for women and men,for women and men, - musky - powdery, 40.1506%, 11.9061%, 47.9432%, 95.279%, 100%, 27.2532%, 27.6824%, 3.21888%, 37.6238%, 94.3069%, 81.9307%, 54.703%, 100%, 38.8614%
Bergamask Orto Parisi for women and men,for women and men, - citrus - musky - powdery - fresh spicy - aromatic, 40.4716%, 9.60572%, 49.9227%, 100%, 64.0533%, 21.5976%, 31.6568%, 9.31953%, 30.441%, 100%, 97.724%, 64.4381%, 94.3101%, 43.9545%
Boccanera Orto Parisi for women and men,for women and men, - warm spicy - chocolate - fresh spicy - sweet - musky - cacao - fresh, 36.7141%, 10.3614%, 52.9244%, 100%, 75.6345%, 21.3198%, 31.9797%, 8.29103%, 100%, 33.3925%, 14.5648%, 96.9805%, 44.0497%, 95.0266%
Brutus Orto Parisi for women and men,for women and men, - patchouli - citrus - woody - warm spicy - earthy - fresh spicy - balsamic - aromatic, 41.6849%, 10.3885%, 47.9267%, 100%, 89.8305%, 30.8475%, 21.3559%, 4.40678%, 79.661%, 76.2712%, 31.5254%, 100%, 81.3559%, 74.2373%
Cuoium Orto Parisi for women and men,for women and men, - animalic - leather - amber - woody - smoky - balsamic - musky - warm spicy - aromatic - fresh spicy, 38.2353%, 6.07417%, 55.6905%, 100%, 49.569%, 21.408%, 15.8046%, 13.7931%, 100%, 31.8367%, 15.102%, 85.9864%, 37.2789%, 81.2245%
Megamare Orto Parisi for women and men,for women and men, - musky - marine - fresh - aquatic - amber - citrus - aromatic - powdery - ozonic - woody, 48.3741%, 8.18362%, 43.4423%, 100%, 43.8364%, 17.4129%, 17.6341%, 15.257%, 41.7085%, 88.8331%, 100%, 63.5958%, 89.6147%, 64.3774%
Seminalis Orto Parisi for women and men,for women and men,, 46.5001%, 12.1987%, 41.3012%, 100%, 80.4734%, 24.4576%, 39.4477%, 14.9901%, 87.9142%, 70.7602%, 32.9435%, 100%, 78.5575%, 81.6764%
Stercus Orto Parisi for women and men,for women and men, - oud - leather - musky - powdery - animalic - vanilla - rose - almond - smoky - sweet, 42.994%, 10.713%, 46.293%, 100%, 70.4989%, 18.0043%, 24.295%, 8.45987%, 99.4898%, 43.8776%, 19.898%, 100%, 53.0612%, 90.3061%
Terroni Orto Parisi for women and men,for women and men, - woody - amber - earthy - smoky - leather - aromatic - warm spicy, 43.3562%, 8.62249%, 48.0214%, 100%, 47.2424%, 12.9898%, 13.7155%, 6.3135%, 100%, 31.5663%, 15.743%, 85.6225%, 39.8394%, 85.3815%
Viride Orto Parisi for women and men,for women and men, - aromatic - fresh spicy - woody - herbal - fresh - musky, 37.5283%, 10.6198%, 51.8519%, 95.1009%, 100%, 30.2594%, 40.0576%, 4.32277%, 33.8346%, 100%, 66.1654%, 75.6892%, 85.9649%, 43.1078%
4711 Remix Cologne Urban Summer 2020 4711 for women and men,for women and men, - citrus - aromatic - green - white floral - fresh spicy - powdery - musky - sweet - aldehydic, 54.0984%, 9.5082%, 36.3934%, 67.3913%, 100%, 41.3043%, 15.2174%, 4.34783%, 5.17241%, 75.8621%, 100%, 8.62069%, 89.6552%, 8.62069%
Waterways Spell Agarthi for women and men,for women and men, - green - mossy - citrus - aquatic - earthy - aromatic - fresh - woody - ozonic, 16.6667%, 0%, 83.3333%, 100%, 100%, 0%, 0%, 0%, 0%, 75%, 100%, 50%, 100%, 50%
Blauer UN1T3D States Man Blauer for men,for men, - fresh spicy - woody - warm spicy - aromatic - balsamic - amber - citrus - lavender - powdery - white floral, 60%, 13.3333%, 26.6667%, 100%, 75%, 50%, 0%, 0%, 41.6667%, 75%, 75%, 66.6667%, 100%, 58.3333%
Shine Like A Night Blumarine for women,for women, - floral - tropical - citrus - vanilla - amber - lactonic - warm spicy - sweet, 40%, 9.52381%, 50.4762%, 20%, 100%, 13.3333%, 20%, 13.3333%, 71.4286%, 57.1429%, 28.5714%, 100%, 71.4286%, 28.5714%
Drunk Maple BORNTOSTANDOUT® for women and men,for women and men, - woody - sweet - warm spicy - rum - coffee - aromatic - vanilla - green - leather - balsamic, 6.50406%, 0.813008%, 92.6829%, 75%, 100%, 25%, 25%, 0%, 100%, 100%, 50%, 50%, 50%, 50%
Mad Honey BORNTOSTANDOUT® for women and men,for women and men, - honey - sweet - vanilla - rose - amber - warm spicy - floral - rum - woody - patchouli, 13.3065%, 5.24194%, 81.4516%, 94.4444%, 100%, 77.7778%, 44.4444%, 27.7778%, 100%, 68.4211%, 10.5263%, 94.7369%, 63.1579%, 84.2105%
Nanatopia BORNTOSTANDOUT® for women and men,for women and men, - sweet - rum - warm spicy - caramel - woody - fruity - fresh spicy - cinnamon - vanilla - tropical, 12.5654%, 5.75916%, 81.6754%, 80%, 100%, 85%, 35%, 65%, 86.9565%, 52.1739%, 26.087%, 100%, 78.2609%, 69.5652%
Amethyst Haze Carolina Herrera for women and men,for women and men, - warm spicy - lavender - aromatic - woody - coffee - vanilla - musky - balsamic - patchouli - fresh spicy, 26.9966%, 5.28684%, 67.7165%, 100%, 46.2366%, 31.1828%, 10.7527%, 3.22581%, 100%, 45.2055%, 17.8082%, 100%, 61.6438%, 93.1507%
Gold Myrrh Absolute Carolina Herrera for women and men,for women and men, - warm spicy - amber - sweet - vanilla - cacao - balsamic - soft spicy - fresh spicy - powdery - aromatic, 28.3927%, 6.54475%, 65.0626%, 100%, 50.4065%, 13.0081%, 9.7561%, 0.813008%, 100%, 37.8947%, 13.6842%, 93.6842%, 57.8947%, 92.6316%
Fruit d'Amour Green Emanuel Ungaro for women,for women, - fruity - citrus - white floral - musky - fresh - green - powdery - sweet - fresh spicy, 30.8824%, 16.9118%, 52.2059%, 36.5385%, 100%, 19.2308%, 51.9231%, 3.84615%, 13.3333%, 86.6667%, 84.4444%, 26.6667%, 100%, 11.1111%
Ungaro Love Emanuel Ungaro for women,for women, - vanilla - soft spicy - sweet - powdery, 24.7934%, 25.6198%, 49.5868%, 36.8421%, 100%, 21.0526%, 63.1579%, 5.26316%, 45.8333%, 70.8333%, 29.1667%, 87.5%, 100%, 33.3333%
Ungaro Power Emanuel Ungaro for men,for men, - warm spicy - cinnamon, 34.6154%, 23.0769%, 42.3077%, 10%, 100%, 30%, 30%, 0%, 75%, 100%, 62.5%, 100%, 75%, 62.5%
Rock Ermanno Scervino for women,for women, - citrus - floral - woody - powdery - amber - vanilla - fresh spicy - ozonic - white floral, 30.9524%, 9.52381%, 59.5238%, 27.2727%, 100%, 63.6364%, 54.5455%, 18.1818%, 25%, 50%, 66.6667%, 50%, 100%, 25%
Preziosa Furla for women,for women, - rose - vanilla - balsamic - warm spicy - amber - leather - woody - powdery - musky - floral, 50.6667%, 13.6%, 35.7333%, 58.4615%, 100%, 33.8462%, 26.1538%, 4.61538%, 91.8367%, 61.2245%, 32.6531%, 100%, 81.6327%, 73.4694%
Romantica Furla for women,for women, - floral - patchouli - woody - fresh - white floral - fruity - warm spicy - balsamic - aromatic - vanilla, 50%, 20.8333%, 29.1667%, 28.5714%, 100%, 46.4286%, 53.5714%, 0%, 26.3158%, 100%, 84.2105%, 52.6316%, 89.4737%, 15.7895%
Blooming Rose Gianfranco Ferre for women,for women, - fruity - floral - rose - woody - sweet - citrus - white floral - soft spicy, 51.0121%, 21.4575%, 27.5304%, 28.0702%, 100%, 35.0877%, 29.8246%, 1.75439%, 16.6667%, 95.2381%, 76.1905%, 23.8095%, 100%, 14.2857%
Figues & Agrumes Lancôme for women and men,for women and men, - fruity - white floral - sweet - citrus - fresh - woody, 42.1267%, 12.3765%, 45.4968%, 85.7868%, 100%, 24.3655%, 14.7208%, 1.01523%, 15.3846%, 83.9744%, 100%, 32.0513%, 99.359%, 24.359%
Sondos Lattafa Perfumes for women and men,for women and men, - tuberose - vanilla - warm spicy - white floral - patchouli - floral - leather - citrus - woody - powdery, 47.3973%, 6.84932%, 45.7534%, 100%, 45.7143%, 40%, 8.57143%, 17.1429%, 87.0968%, 96.7742%, 64.5161%, 100%, 83.871%, 83.871%
Ray-Flection Masque Milano for women and men,for women and men, - aldehydic - yellow floral - powdery - beeswax - citrus - honey - warm spicy - animalic - musky - fresh, 40.9686%, 12.1728%, 46.8586%, 100%, 65.3543%, 29.9213%, 20.4724%, 7.08661%, 23.8532%, 100%, 85.3211%, 48.6239%, 86.2385%, 24.7706%
Open Arms Nonfiction for women and men,for women and men, - citrus - fresh, 32.1429%, 3.57143%, 64.2857%, 80%, 40%, 100%, 0%, 40%, 0%, 57.1429%, 71.4286%, 28.5714%, 100%, 14.2857%
Bacchus Nysos Parfum for women and men,for women and men, - warm spicy - citrus - woody - white floral - floral - balsamic - aromatic - rose - patchouli - amber, 50%, 0%, 50%, 100%, 100%, 100%, 0%, 100%, 75%, 100%, 50%, 100%, 75%, 75%
Bois & Or Pascal Morabito for men,for men, - woody - warm spicy - aromatic - animalic - amber - smoky - rose - metallic, 59.8485%, 6.06061%, 34.0909%, 100%, 78.9474%, 15.7895%, 26.3158%, 5.26316%, 75%, 90%, 25%, 100%, 85%, 75%
Agarbathi Penhaligon's for men,for men, - woody - amber - aromatic - fresh spicy - warm spicy - balsamic - smoky - citrus - powdery - leather, 34.3808%, 6.83919%, 58.78%, 100%, 97.0149%, 7.46269%, 25.3731%, 4.47761%, 100%, 39.6226%, 16.9811%, 100%, 73.5849%, 98.1132%
Paithani Penhaligon's for women,for women, - warm spicy - leather - fresh spicy - amber - woody - aromatic - lactonic - rose - animalic - smoky, 32.0713%, 10.6904%, 57.2383%, 89.4737%, 100%, 15.7895%, 28.0702%, 0%, 97.7273%, 45.4545%, 31.8182%, 100%, 79.5455%, 86.3636%
Merveilleuse Saba Reine de Saba for women and men,for women and men, - aromatic - fresh spicy - citrus - woody - warm spicy - rose - green - floral, 33.3333%, 5.55556%, 61.1111%, 100%, 66.6667%, 0%, 33.3333%, 0%, 66.6667%, 66.6667%, 66.6667%, 100%, 100%, 66.6667%
Rinascimento Salvatore Ferragamo for women and men,for women and men, - white floral - fresh spicy - woody - tuberose - aromatic - green - citrus - powdery - animalic - iris, 27.2277%, 3.46535%, 69.3069%, 100%, 61.5385%, 23.0769%, 7.69231%, 0%, 25%, 100%, 66.6667%, 70.8333%, 100%, 62.5%
Trussardi Ruby Red Trussardi for women,for women, - warm spicy - fruity - woody - patchouli - sweet - fresh - floral - powdery - citrus - balsamic, 39.3939%, 6.88705%, 53.719%, 37.5%, 100%, 58.3333%, 35.4167%, 10.4167%, 61.9048%, 71.4286%, 40.4762%, 100%, 97.619%, 45.2381%
8 Every Moment Abercrombie & Fitch for women,for women, - rose - sweet - musky - citrus - vanilla - aromatic - green - powdery - floral, 20%, 4%, 76%, 100%, 50%, 0%, 0%, 0%, 0%, 100%, 0%, 100%, 100%, 50%
Cuir Curcuma Affinessence for women and men,for women and men, - warm spicy - leather - woody - amber - powdery - earthy - iris - balsamic - animalic, 40.747%, 7.30051%, 51.9525%, 100%, 60%, 17.3913%, 13.0435%, 0.869565%, 85.5422%, 51.8072%, 14.4578%, 100%, 62.6506%, 73.494%
Gingembre Latte Affinessence for women and men,for women and men, - warm spicy - fresh - citrus - fresh spicy - lactonic - aromatic - green - patchouli - herbal - soft spicy, 23.4875%, 3.55872%, 72.9537%, 93.1035%, 100%, 3.44828%, 17.2414%, 6.89655%, 22.7273%, 100%, 77.2727%, 54.5455%, 81.8182%, 13.6364%
Santal Basmati Affinessence for women and men,for women and men, - woody - powdery - warm spicy - iris - savory - musky, 28.2198%, 6.81168%, 64.9685%, 100%, 85.9729%, 21.267%, 15.8371%, 2.71493%, 74.5562%, 66.8639%, 27.8107%, 100%, 85.7988%, 43.1953%
Beloved Man Amouage for men,for men, - aromatic - woody - warm spicy - fresh spicy - citrus - leather - balsamic - powdery - earthy - conifer, 48.286%, 15.5936%, 36.1204%, 100%, 88.4793%, 14.0553%, 25.8065%, 2.30415%, 41.1429%, 100%, 65.7143%, 90.5714%, 98%, 54.2857%
Cristal & Gold Man Amouage for men,for men, - powdery - musky - animalic - woody - amber - aldehydic - white floral - warm spicy - floral - fresh, 16.0377%, 2.83019%, 81.1321%, 100%, 16.6667%, 8.33333%, 8.33333%, 16.6667%, 100%, 55.5556%, 55.5556%, 100%, 66.6667%, 77.7778%
Cristal & Gold Woman Amouage for women,for women, - amber - citrus - powdery - musky - vanilla - white floral - animalic - fresh spicy - woody - aromatic, 11.4583%, 2.08333%, 86.4583%, 100%, 11.1111%, 0%, 0%, 11.1111%, 100%, 75%, 100%, 75%, 50%, 100%
Dia 40 Woman Amouage for women,for women, - aldehydic - fresh - floral - woody - powdery - iris - yellow floral - musky - rose - soapy, 18.6047%, 2.99003%, 78.4053%, 100%, 59.375%, 18.75%, 3.125%, 9.375%, 61.9048%, 100%, 76.1905%, 95.2381%, 85.7143%, 66.6667%
Honour 43 Woman Amouage for women,for women, - white floral - tuberose - green - aromatic - floral - warm spicy - fresh - woody, 41.8243%, 5.7842%, 52.3916%, 100%, 44%, 13.6%, 13.6%, 1.6%, 36.5591%, 100%, 61.2903%, 77.4194%, 84.9462%, 47.3118%
Honour Woman Amouage for women,for women, - white floral - green - tuberose - aromatic - animalic, 50.0043%, 18.2645%, 31.7312%, 97.1904%, 100%, 14.8803%, 33.6108%, 3.22581%, 29.3518%, 98.3977%, 70.5026%, 40.7866%, 100%, 33.1391%
Patchouli Indulgence Avon for women and men,for women and men, - patchouli - rose - fresh spicy - woody - citrus - powdery - warm spicy - musky - amber - floral, 65.3434%, 17.0601%, 17.5966%, 41.6268%, 100%, 21.5311%, 17.2249%, 2.39234%, 66.6667%, 64.7799%, 30.8176%, 100%, 81.761%, 57.8616%
Velvet Tonka BDK Parfums for women and men,for women and men, - vanilla - sweet - almond - amber - nutty - fruity - woody - aromatic - tobacco - white floral, 33.453%, 8.90165%, 57.6454%, 100%, 73.2558%, 49.7674%, 50%, 14.186%, 92.5214%, 38.8889%, 14.5299%, 100%, 71.1539%, 73.2906%
Villa Néroli BDK Parfums for women and men,for women and men, - citrus - white floral - woody - aromatic - amber - vanilla - musky - green - sweet - fresh, 28.619%, 7.98669%, 63.3943%, 100%, 96.5909%, 60.2273%, 22.7273%, 10.2273%, 13.3333%, 81.9048%, 100%, 31.4286%, 87.6191%, 27.6191%
Let's Love Benetton for women,for women, - fruity - sweet - white floral - floral - woody - tropical - fresh - musky, 37.1981%, 34.2995%, 28.5024%, 25.4545%, 100%, 1.81818%, 34.5455%, 0%, 4.25532%, 63.8298%, 87.2341%, 19.1489%, 100%, 6.38298%
Anna Blumarine for women,for women, - fruity - floral - fresh - rose - sweet - powdery - musky - woody, 44.1177%, 26.8627%, 29.0196%, 31.8548%, 100%, 12.9032%, 24.1935%, 1.6129%, 10.303%, 97.5758%, 77.5758%, 22.4242%, 100%, 16.3636%
Early Morning Brocard for women,for women, - citrus - fresh - green - warm spicy - fruity - aromatic - rose, 62.2523%, 23.0631%, 14.6847%, 32.1608%, 100%, 16.5829%, 13.0653%, 1.00503%, 11.5385%, 63.8462%, 100%, 16.1538%, 93.0769%, 10%
Morning Dew Brocard for women and men,for women and men, - citrus - warm spicy - floral - green - musky - rose - fresh - powdery - fresh spicy, 62.2727%, 20%, 17.7273%, 17.5%, 100%, 27.5%, 17.5%, 5%, 7.14286%, 89.2857%, 78.5714%, 14.2857%, 100%, 3.57143%
CK One Reflections Calvin Klein for women and men,for women and men, - fresh - citrus - musky - green - woody - powdery - warm spicy - aquatic - aromatic, 49.5157%, 4.84262%, 45.6416%, 100%, 91.6667%, 41.6667%, 9.25926%, 9.25926%, 3.10881%, 73.057%, 100%, 16.5803%, 94.3005%, 8.80829%
Run Wild Davidoff for men,for men, - warm spicy - aromatic - fresh spicy - lavender - cinnamon - fresh - woody - vanilla - sweet - conifer, 48.5185%, 12.2222%, 39.2593%, 56.0284%, 100%, 27.6596%, 32.6241%, 4.96454%, 32.6797%, 100%, 89.5425%, 67.3203%, 93.4641%, 46.4052%
Kyoto Diptyque for women and men,for women and men, - rose - earthy - woody - aromatic - amber - smoky - balsamic - floral - warm spicy - green, 31.5111%, 6.14251%, 62.3464%, 100%, 76.0234%, 29.8246%, 27.4854%, 10.5263%, 39.3548%, 89.6774%, 63.871%, 100%, 99.3548%, 45.1613%
Dolce Blue Jasmine Dolce&Gabbana for women,for women, - white floral - woody - fruity - sweet - floral, 13.9053%, 0.591716%, 85.503%, 38.8889%, 100%, 55.5556%, 27.7778%, 11.1111%, 11.1111%, 100%, 94.4444%, 38.8889%, 88.8889%, 27.7778%
Cocktail Lane ÉDIT(h) for women and men,for women and men, - aquatic - fresh spicy - fresh - woody - aromatic - warm spicy - green - musky - citrus - powdery, 9.45946%, 0%, 90.5405%, 100%, 0%, 33.3333%, 0%, 0%, 0%, 100%, 100%, 100%, 100%, 100%
Jardin des Mots ÉDIT(h) for women and men,for women and men, - white floral - citrus - green - fresh - woody - aromatic - rose - mossy - musky - floral, 22.7273%, 0%, 77.2727%, 100%, 20%, 0%, 0%, 0%, 50%, 100%, 100%, 50%, 100%, 50%
Chiffon Sorbet Eau de Toilette Escada for women,for women, - fruity - woody - sweet - powdery - musky - animalic - floral - amber, 27.6423%, 1.62602%, 70.7317%, 100%, 66.6667%, 75%, 8.33333%, 0%, 0%, 90.9091%, 100%, 27.2727%, 81.8182%, 36.3636%
Show Me Love Escada for women,for women, - sweet - fruity - almond - vanilla, 44.0406%, 5.32544%, 50.634%, 49.1379%, 100%, 31.8966%, 18.9655%, 10.3448%, 66.6667%, 83.871%, 65.5914%, 83.871%, 100%, 45.1613%
Puro Algodão Eudora for women,for women, - white floral - musky - powdery - animalic, 54.1667%, 26.3889%, 19.4444%, 100%, 36.3636%, 45.4545%, 9.09091%, 0%, 30.7692%, 84.6154%, 69.2308%, 30.7692%, 100%, 23.0769%
S. Excès Femme Eudora for women,for women, - oud - iris - powdery - violet - earthy, 20.3125%, 23.4375%, 56.25%, 100%, 50%, 0%, 31.8182%, 0%, 100%, 5.55556%, 0%, 77.7778%, 27.7778%, 100%
Ferrari Red Power Intense Ferrari for men,for men, - amber - fresh spicy - warm spicy - oud - iris - ozonic - lavender - powdery - woody - aquatic, 49.2537%, 23.8806%, 26.8657%, 51.8519%, 100%, 25.9259%, 40.7407%, 3.7037%, 97.2973%, 40.5405%, 13.5135%, 100%, 67.5676%, 72.973%
Leather Essence Ferrari for men,for men, - warm spicy - woody - leather - vanilla - cinnamon - animalic - citrus - smoky - patchouli, 45.1786%, 17.2619%, 37.5595%, 100%, 97.6%, 8%, 17.6%, 0.4%, 96.8379%, 35.9684%, 7.50988%, 100%, 65.2174%, 84.1897%
Red Power Ferrari for men,for men, - aromatic - fresh spicy - citrus - woody - warm spicy - lavender - musky - soft spicy - sweet - herbal, 46.0465%, 29.3023%, 24.6512%, 31.5068%, 100%, 4.10959%, 26.0274%, 0%, 10.3448%, 79.3104%, 84.4828%, 48.2759%, 100%, 27.5862%
Red Power Ice 3 Ferrari for men,for men, - citrus - aromatic - fresh spicy - aquatic - fresh - powdery - soft spicy - green, 58.6667%, 14.6667%, 26.6667%, 100%, 97.9592%, 8.16327%, 8.16327%, 6.12245%, 3.94737%, 77.6316%, 100%, 23.6842%, 86.8421%, 22.3684%
Immortelle Tribal Givenchy for women and men,for women and men, - herbal - warm spicy - woody - sweet - green - powdery - fresh - tobacco - leather, 31.0476%, 12.5714%, 56.381%, 100%, 88.3117%, 9.09091%, 28.5714%, 0%, 58.1395%, 41.8605%, 46.5116%, 100%, 88.3721%, 62.7907%
Iceberg Since 1974 for Her Iceberg for women,for women, - citrus - fresh spicy - aromatic - green - fresh - warm spicy - musky - soft spicy, 49.7942%, 18.5185%, 31.6872%, 40.3509%, 100%, 14.0351%, 26.3158%, 0%, 12.1951%, 68.2927%, 78.0488%, 39.0244%, 100%, 17.0732%
Iceberg Since 1974 for Him Iceberg for men,for men, - woody - warm spicy - fresh spicy - aromatic - fruity - lavender - amber - patchouli - citrus - musky, 50.4132%, 21.4876%, 28.0992%, 95.2381%, 100%, 23.8095%, 19.0476%, 4.7619%, 30.303%, 81.8182%, 69.697%, 75.7576%, 100%, 54.5455%
Iceberg White Iceberg for women,for women, - citrus - fruity - sweet - floral - fresh - woody - aromatic - fresh spicy - powdery - rose, 35.8247%, 34.5361%, 29.6392%, 27.027%, 100%, 9.00901%, 58.5586%, 0.900901%, 13.4146%, 74.3902%, 80.4878%, 32.9268%, 100%, 12.1951%
Tender White Iceberg for women,for women, - floral - sweet - rose - powdery - fruity - musky - iris - fresh - vanilla - citrus, 34.106%, 30.7947%, 35.0993%, 18.0328%, 100%, 18.0328%, 37.7049%, 0%, 21.9512%, 80.4878%, 56.0976%, 56.0976%, 100%, 7.31707%
Bloomastral J.U.S Parfums for women and men,for women and men, - white floral - floral - woody - fruity - powdery, 26.25%, 5%, 68.75%, 83.3333%, 100%, 25%, 8.33333%, 41.6667%, 13.3333%, 100%, 73.3333%, 20%, 80%, 6.66667%
Gingerlise J.U.S Parfums for women and men,for women and men, - citrus - fresh - aromatic - warm spicy - fresh spicy - green - musky - herbal, 22.3958%, 7.29167%, 70.3125%, 80%, 100%, 44%, 12%, 32%, 13.0435%, 47.8261%, 100%, 21.7391%, 82.6087%, 17.3913%
